TRACK,P1X,P1Y,P2X,P2Y,DIRECTION,MINX,MINY,MAXX,MAXY
847,-442.3470764160156,-30.071998596191406,-420.6167297363281,-25.22372341156006,"PX",-890.281005859375,-471.3713684082031,-373.0901794433594,581.9259643554688
853,-448.884521484375,108.53067016601562,-472.13031005859375,103.34407806396484,"NX",-892.7725219726562,-471.86175537109375,-368.55755615234375,587.4592895507812
11,75.7188606262207,-373.741455078125,75.72633361816406,-391.3509826660156,"NX",-817.0384521484375,-391.3609924316406,738.6958618164062,537.5722045898438
1069,75.7188491821289,-391.329833984375,75.71936416625977,-373.7476348876953,"PX",-820.3143310546875,-391.3370666503906,737.4949951171875,540.3997802734375
356,-11.27501916885376,350.33656311035156,-11.280310153961182,372.1679229736328,"PX",-709.1983642578125,-269.86151123046875,607.2481689453125,372.1795654296875
449,-11.282599449157715,372.1304626464844,-11.280191421508789,350.3271484375,"NX",-709.8977661132812,-270.2832336425781,608.4602661132812,372.1741027832031
820,-11.282330989837646,350.33099365234375,-11.280618667602539,372.17320251464844,"PX",-710.9044799804688,12.050761222839355,505.1517639160156,372.1817932128906
822,-11.289649963378906,372.13905334472656,-11.28288745880127,350.3303527832031,"NX",-714.1160888671875,7.226381778717041,506.1298828125,372.17864990234375
819,-11.277736186981201,350.41285705566406,-11.287043571472168,372.1360321044922,"PX",-712.4441528320312,-38.178157806396484,505.4984436035156,372.1798095703125
823,-11.28339672088623,372.13218688964844,-11.282733917236328,350.3350524902344,"NX",-709.9923706054688,-35.98418426513672,505.1495056152344,372.175537109375
471,-151.7098159790039,-185.78804779052734,-151.7127456665039,-165.01337432861328,"PX",-326.2855224609375,-193.04832458496094,202.80813598632812,193.64749145507812
4,-347.7607727050781,-251.42432403564453,-401.4430236816406,-290.5929412841797,"NX",-599.60302734375,-709.31103515625,601.8079833984375,711.7627563476562
1163,-346.66802978515625,-250.6399917602539,-401.4324188232422,-290.58494567871094,"NX",-603.1243286132812,-708.2428588867188,598.2146606445312,715.4874267578125
365,-34.797245025634766,17.56990337371826,-26.239737510681152,28.972875595092773,"PX",-754.0962524414062,-377.3533020019531,857.0406494140625,504.2405090332031
602,-26.22840690612793,28.995944023132324,-34.74847984313965,17.64149761199951,"NX",-758.9012451171875,-382.64996337890625,861.8991088867188,510.7942199707031
793,-34.72136878967285,17.668435096740723,-26.230923652648926,28.98238182067871,"PX",-359.6064758300781,-275.2018127441406,315.3549499511719,350.99456787109375
